Name,Ticker / Market Capitalization,Project Stage,Commodity,Location,Website
Abcourt Mines Inc,TSXV: ABI - $26M (CAD),"Development, Exploration, Production",Gold,Canada,https://abcourt.info/
Aben Minerals Ltd.,TSXV: ABM,Exploration,Gold,Canada,https://abenminerals.com/
Aftermath Silver,TSXV: AAG,Exploration,Silver,"Chile, Peru",https://aftermathsilver.com/
Amex Exploration,TSXV: AMX - $171M (CAD),Exploration,Gold,"Quebec, Canada",https://www.amexexploration.com/
Anglo American,LSE: AAL - $289M (GBP),"Production, Exploration, Development","Diamond, Nickel, Copper, Platinum",,https://www.angloamerican.com/
ARIAB Mining Company,Private,"Exploration, Production","Gold, Nickel","Sudan, Africa",https://ariabmining.net/
Asante Gold Corporation,CSE: ASE - $476M (CAD),Production,Gold,Ghana,https://asantegold.com/
Aspire Limited,ASX: AKM,"Development, Exploration",Coking Coal,Mongolia,https://aspirelimited.com/
Aston Bay Holdings Ltd,TSXV: BAY - $27M (CAD),Exploration,"Gold, Copper",North America,https://astonbayholdings.com/
Atha Energy Corp.,FRA: X5U - $141M (EUR),Exploration,Uranium,Canada,https://athaenergy.com/
Athena Gold Corp,OTC: AHNR,Exploration,Gold,USA,https://athenagoldcorp.com/
Australian Strategic Materials Ltd,ASX: ASM - $149M (AUD),Development,"Rare Earth Metals, Niobium, Zircon , Hafnium","Dubbo, NSW, Australia",https://asm-au.com/
Awalé Resources,TSXV: ARIC - $47M (CAD),Exploration,Gold,Cote d’Ivoire,https://awaleresources.ca/
Barrick Gold Corporation,NYSE: GOLD - $31803M (USD),Production,"Gold, Copper",Canada,https://www.barrick.com/English/home/default.aspx
Baselode Energy Corp.,TSXV: FIND - $32M (CAD),Exploration,Uranium,"Saskatchewan, Canada",https://baselode.com/
Basin Energy Limited,ASX: BSN - $6M (AUD),Exploration,Uranium,Canada,https://basinenergy.com.au/
BHP,ASX: BHP - $220915M (AUD),"Development, Production","Copper, Iron Ore, Nickel, Coking Coal, Potash","Canada, Chile, Peru, United States, Colombia, Brazil. Australia",https://www.bhp.com/
Borealis Mining,TSXV: BOGO,"Exploration, Development, Production",Gold,"Nevada, USA",https://borealismining.com/
Brazil Iron,Private,Production,Iron Ore,Brazil,https://www.braziliron.com.br/
Bunker Hill Mining Corp.,TSXV: BNKR - $55M (CAD),Development,"Lead, Silver, Zinc",Canada,https://www.bunkerhillmining.com/
Canagold Resources Ltd.,TSXV: CCM,Development,Gold,"British Columbia, Canada",https://www.canagoldresources.com/
Capital Metals PLC,LSE: CMET,Exploration,Mineral Sands,Sri Lanka,https://capitalmetals.com/
Central Asia Metals Plc,AIM: CAML - $3M (GBP),Production,"Copper, Lead, Zinc","Kazakhstan, North Macedonia",https://www.centralasiametals.com/
Citic Pacific Mining,HKG: 0267,Production,Iron Ore,Australia,
Conroy Gold and Natural Resources plc,AIM: CGNR,"Exploration, Development",Gold,Ireland,https://www.conroygoldandnaturalresources.com/
Cornish Lithium,Private,Exploration,Lithium,"Cornwall, UK",https://cornishlithium.com/
Cornish Metals,"TSXV: CUSN, AIM: CUSN",Exploration,Tin,"Cornwall, UK",https://cornishmetals.com/
Cornish Tin,Private,,"Lithium, Tin, Copper, Tungsten","Cornwall, UK",https://www.cornishtin.uk/
