country,mined_raw_mat,unit,2018,2019,2020,2021,2022
Afghanistan,Chromium,(t),2000.0,2000.0,2000.0,5300.0,19100.0
Afghanistan,Fluorspar,(t),10000.0,50000.0,10000.0,10000.0,27600.0
Afghanistan,Gypsum,(t),36161.0,24682.0,21779.0,16349.0,10991.0
Afghanistan,Salt,(t),47944.0,41157.0,12015.0,10700.0,41573.0
Afghanistan,Talc,(t),356789.0,345052.0,95923.0,441372.0,382211.0
Afghanistan,Steam Coal,(t),2444600.0,1604700.0,56620.0,340800.0,517000.0
Afghanistan,Nat. Gas,(Mio m3),153.0,146.0,59.0,153.0,185.0
Albania,Chromium,(t),322100.0,357200.0,212650.0,242200.0,383400.0
Albania,Nickel,(t),4200.0,2960.0,3760.0,4090.0,1570.0
Albania,Copper,(t),2515.0,5900.0,3070.0,4430.0,3470.0
Albania,Gypsum,(t),102016.0,106070.0,111880.0,116295.0,78239.0
Albania,Salt,(t),31500.0,30000.0,30000.0,30000.0,30000.0
Albania,Steam Coal,(t),297530.0,95380.0,151231.0,242425.0,182080.0
Albania,Nat. Gas,(Mio m3),82.0,71.0,57.0,57.0,51.0
Albania,Petroleum,(t),910670.0,1005090.0,712427.0,757393.0,657402.0
Algeria,Iron,(t),1178800.0,1068600.0,1016200.0,942000.0,1074000.0
Algeria,Zinc,(t),500.0,500.0,1000.0,500.0,900.0
Algeria,Gold,(kg),286.0,70.0,58.0,71.0,138.0
Algeria,Silver,(kg),30.0,30.0,20.0,12.0,20.0
Algeria,Baryte,(t),39426.0,31138.0,32940.0,44662.0,45000.0
Algeria,Bentonite,(t),36000.0,36700.0,34200.0,31700.0,32000.0
Algeria,Diatomite,(t),2468.0,2437.0,3040.0,3066.0,3000.0
Algeria,Feldspar,(t),170000.0,170000.0,170000.0,170000.0,170000.0
Algeria,Gypsum,(t),2200000.0,2200000.0,2200000.0,2500000.0,2500000.0
Algeria,Kaolin,(t),100000.0,100000.0,100000.0,120000.0,120000.0
Algeria,Phosphates,(t),409400.0,455100.0,409900.0,616000.0,671500.0
Algeria,Salt,(t),106200.0,100800.0,95100.0,107800.0,100000.0
Algeria,Sulfur,(t),6000.0,6000.0,6000.0,6000.0,6000.0
Algeria,Nat. Gas,(Mio m3),97467.0,89983.0,84597.0,105037.0,101436.0
Algeria,Petroleum,(t),65331000.0,64330000.0,57535000.0,58200000.0,62066000.0
Angola,Iron,(t),,,0.0,96280.0,5880.0
Angola,Manganese,(t),,,0.0,20700.0,32400.0
Angola,Gold,(kg),0.0,23.0,59.0,32.0,79.0
Angola,Diam. (Gem),(ct),8490500.0,8209365.0,7118240.0,7597280.0,7606550.0
Angola,Diam. (Ind),(ct),943390.0,912150.0,790920.0,1124200.0,1156760.0
Angola,Gypsum,(t),32000.0,119260.0,165290.0,79680.0,266570.0
